                      AnnualCrop            Forest                HerbaceousVegetation  Highway               Industrial            Pasture               PermanentCrop         Residential           River                 SeaLake               
AnnualCrop            282                   0                     17                    16                    15                    13                    55                    18                    30                    4                     
Forest                0                     376                   5                     0                     0                     26                    0                     0                     6                     37                    
HerbaceousVegetation  112                   3                     176                   29                    11                    10                    44                    35                    29                    1                     
Highway               68                    1                     32                    91                    21                    18                    25                    52                    66                    1                     
Industrial            15                    0                     6                     15                    249                   5                     6                     72                    4                     3                     
Pasture               12                    19                    16                    10                    0                     203                   11                    5                     19                    5                     
PermanentCrop         160                   1                     25                    29                    12                    6                     92                    29                    21                    0                     
Residential           27                    0                     31                    45                    74                    3                     34                    193                   41                    2                     
River                 30                    5                     12                    59                    12                    23                    10                    23                    186                   15                    
SeaLake               6                     53                    11                    1                     0                     18                    3                     14                    16                    328                   
